key,key:customer,full-name,email,passport-number,birth-date,draft-mode,special-needs
passenger-01,customer-01,"Alejandro Mendoza",alemen@lorem-ipsum.org,FKJZAG0XM,2012/07/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-02,customer-01,"Mariana López",marlop@lorem-ipsum.org,FKJZAG0XM,1990/05/15 00:00,true,"Lorem ipsum dolor sit ame"
passenger-03,customer-01,"Carlos Ramírez",carram@lorem-ipsum.org,FKJZAG0XM,1985/09/22 00:00,true,"Lorem ipsum dolor sit ame"
passenger-04,customer-01,"Fernanda Torres",fertor@lorem-ipsum.org,FKJZAG0XM,1993/11/03 00:00,true,"Lorem ipsum dolor sit ame"
passenger-05,customer-01,"Javier Morales",javmor@lorem-ipsum.org,FKJZAG0XM,1988/02/17 00:00,true,"Lorem ipsum dolor sit ame"
passenger-06,customer-01,"Lucía González",lucgon@lorem-ipsum.org,FKJZAG0XM,1995/07/30 00:00,true,"Lorem ipsum dolor sit ame"
passenger-07,customer-02,"Roberto Herrera",robherr@lorem-ipsum.org,FKJZAG0XM,1982/12/14 00:00,true,"Lorem ipsum dolor sit ame"
passenger-08,customer-02,"Andrea Castillo",andcas@lorem-ipsum.org,FKJZAG0XM,1991/04/25 00:00,true,"Lorem ipsum dolor sit ame"
passenger-09,customer-02,"Sofía Navarro",sofnav@lorem-ipsum.org,FKJZAG0XM,1994/06/19 00:00,true,"Lorem ipsum dolor sit ame"
passenger-10,customer-02,"Diego Fuentes",diefue@lorem-ipsum.org,FKJZAG0XM,1987/10/08 00:00,true,"Lorem ipsum dolor sit ame"
passenger-11,customer-02,"Valentina Paredes",valpar@lorem-ipsum.org,FKJZAG0XM,1996/09/21 00:00,true,"Lorem ipsum dolor sit ame"
passenger-12,customer-01,"Hugo Méndez",hugmen@lorem-ipsum.org,FKJZAG0XM,1992/08/11 00:00,true,"Lorem ipsum dolor sit ame"
passenger-13,customer-01,"Camila Ortega",camort@lorem-ipsum.org,FKJZAG0XM,1990/03/27 00:00,true,"Lorem ipsum dolor sit ame"
passenger-14,customer-01,"Felipe Reyes",felrey@lorem-ipsum.org,FKJZAG0XM,1986/01/05 00:00,true,"Lorem ipsum dolor sit ame"
passenger-15,customer-01,"Elena Rojas",eleroj@lorem-ipsum.org,FKJZAG0XM,1997/12/09 00:00,true,"Lorem ipsum dolor sit ame"
passenger-16,customer-01,"Tomás Salinas",tomsal@lorem-ipsum.org,FKJZAG0XM,1993/05/13 00:00,true,"Lorem ipsum dolor sit ame"
passenger-17,customer-01,"Natalia Vázquez",natvaz@lorem-ipsum.org,FKJZAG0XM,1989/11/29 00:00,true,"Lorem ipsum dolor sit ame"
passenger-18,customer-01,"Sebastián Cruz",sebcru@lorem-ipsum.org,FKJZAG0XM,1992/07/07 00:00,true,"Lorem ipsum dolor sit ame"
passenger-19,customer-01,"Gabriela Peña",gabpen@lorem-ipsum.org,FKJZAG0XM,1991/06/15 00:00,true,"Lorem ipsum dolor sit ame"
passenger-20,customer-01,"Daniel Espinoza",danesp@lorem-ipsum.org,FKJZAG0XM,1985/04/23 00:00,true,"Lorem ipsum dolor sit ame"
passenger-21,customer-01,"Lorena Chávez",lorcha@lorem-ipsum.org,FKJZAG0XM,1996/02/18 00:00,true,"Lorem ipsum dolor sit ame"
passenger-22,customer-01,"Ricardo Soto",ricsot@lorem-ipsum.org,FKJZAG0XM,1984/09/26 00:00,true,"Lorem ipsum dolor sit ame"
passenger-23,customer-01,"Isabel Jiménez",isajim@lorem-ipsum.org,FKJZAG0XM,1990/01/14 00:00,true,"Lorem ipsum dolor sit ame"
passenger-24,customer-01,"Francisco Aguirre",fraagu@lorem-ipsum.org,FKJZAG0XM,1983/07/20 00:00,true,"Lorem ipsum dolor sit ame"
passenger-25,customer-01,"Verónica Silva",versil@lorem-ipsum.org,FKJZAG0XM,1995/10/31 00:00,true,"Lorem ipsum dolor sit ame"
passenger-26,customer-01,"Raúl Cárdenas",raucar@lorem-ipsum.org,FKJZAG0XM,1986/08/28 00:00,true,"Lorem ipsum dolor sit ame"
passenger-27,customer-01,"Esteban Núñez",estnuñ@lorem-ipsum.org,FKJZAG0XM,1993/03/05 00:00,true,"Lorem ipsum dolor sit ame"
passenger-28,customer-02,"Patricia Delgado",patdel@lorem-ipsum.org,FKJZAG0XM,1987/12/02 00:00,true,"Lorem ipsum dolor sit ame"
passenger-29,customer-02,"Joaquín Ríos",joario@lorem-ipsum.org,FKJZAG0XM,1992/06/17 00:00,true,"Lorem ipsum dolor sit ame"
passenger-30,customer-02,"Carolina Vega",carveg@lorem-ipsum.org,FKJZAG0XM,1989/05/09 00:00,true,"Lorem ipsum dolor sit ame"
passenger-31,customer-02,"Federico Guzmán",fedguz@lorem-ipsum.org,FKJZAG0XM,1994/04/22 00:00,true,"Lorem ipsum dolor sit ame"
passenger-32,customer-02,"Beatriz Montes",beamont@lorem-ipsum.org,FKJZAG0XM,1988/10/11 00:00,true,"Lorem ipsum dolor sit ame"
passenger-33,customer-02,"Manuel Ponce",manpon@lorem-ipsum.org,FKJZAG0XM,1991/11/06 00:00,true,"Lorem ipsum dolor sit ame"
